,CHI,OMEGA,OMEGA_Cont,X_LUT,Y_LUT,Z_LUT
0,0.0,5.0,5.0,0.0010212652020203344,-0.000572453252525249,-0.0011106054444443743
1,0.0,15.0,15.0,0.0010148298674700043,-0.0005813332048192732,-0.0016612175903613696
2,0.0,25.0,25.0,0.0010784128214286997,-0.0007531599047619016,-0.0020478259047618428
3,0.0,35.0,35.0,0.0011732686746989598,-0.0011268742891566215,-0.0025647886024095707
4,0.0,45.0,45.0,0.0013353238915664299,-0.0015933720240963827,-0.002778496493975835
5,0.0,55.0,55.0,0.0014491388674700066,-0.0020559105783132495,-0.0027616204337348686
6,0.0,65.0,65.0,0.0015749313690477543,-0.0026275524166666647,-0.0025010130238094534
7,0.0,75.0,75.0,0.0017593842195123101,-0.0032488347804878,-0.002089169243902377
8,0.0,85.0,85.0,0.0019033489642858105,-0.0036658098690476155,-0.0015369533333332627
9,0.0,95.0,95.0,0.002082687168674862,-0.0038655581686746947,-0.0008806453493975288
10,0.0,105.0,105.0,0.0023113364880954024,-0.0038334229166666622,-3.85495238088602e-06
11,0.0,115.0,115.0,0.002458420301204907,-0.0031847102530120435,0.0008807789759036875
12,0.0,125.0,125.0,0.0026271007500001347,-0.002655349285714281,0.0017714512857143522
13,0.0,135.0,135.0,0.0028010306585366843,-0.0020725338902438982,0.0023603207073171384
14,0.0,145.0,145.0,0.0029124994880953547,-0.0011074547499999967,0.002659291250000067
15,0.0,155.0,155.0,0.0029660970722892805,-0.00015964420481927327,0.002725653602409702
16,0.0,165.0,165.0,0.003013666578313392,0.0010414055180722952,0.0025996527951807923
17,0.0,175.0,175.0,0.00304911098795195,0.002112628566265063,0.002185689337349465
18,0.0,185.0,185.0,0.003043355674698928,0.002813782903614462,0.0015733325662651329
19,0.0,195.0,195.0,0.002981051607142999,0.003249229392857148,0.0007414631309524503
20,0.0,205.0,205.0,0.002940466380952525,0.0033764858333333366,-0.00018816491666659706
21,0.0,215.0,215.0,0.002881968750000125,0.003320082690476193,-0.0011830773571427922
22,0.0,225.0,225.0,0.0028085090000001026,0.002987529402439027,-0.002088173036585295
