CHI,OMEGA,X_LUT,Y_LUT,Z_LUT
0.0,5.0,-4.325712485681787e-06,0.00011717850630011463,-7.926044100801827e-05
0.0,15.0,2.495818999999984e-05,5.339410000000008e-05,-0.0004525307600000001
0.0,25.0,0.00013904783999999992,-0.00012578527999999994,-0.00099165173
0.0,35.0,0.0001875075399999998,-0.0002402365899999999,-0.00166818015
0.0,45.0,0.00030298471999999974,-0.00048681302999999983,-0.00218575573
0.0,55.0,0.0003923894899999998,-0.00084657281,-0.0022908311
0.0,65.0,0.0005370019799999997,-0.0014397464299999996,-0.00210883281
0.0,75.0,0.0008217761799999997,-0.0022080864799999995,-0.0017757797300000002
0.0,85.0,0.0009660931299999997,-0.0027761822799999996,-0.0013985611799999997
0.0,95.0,0.0011355574099999998,-0.0030695184299999994,-0.00099341431
0.0,105.0,0.0013188249499999998,-0.00298698564,-0.0004332729999999999
0.0,115.0,0.00148637805,-0.0027095190200000004,0.00038136671000000004
0.0,125.0,0.00169679705,-0.00238462997,0.0013026769700000003
0.0,135.0,0.0018915138500000001,-0.0019749771199999997,0.00202914163
0.0,145.0,0.0019710665858585857,-0.001381941404040404,0.0023180336565656566
0.0,155.0,0.0020352299099999998,-0.0005022113499999999,0.0021952841799999998
0.0,165.0,0.0020888758399999997,0.00057392372,0.0018958144200000005
0.0,175.0,0.0021549130792079207,0.001425277742574257,0.00151921001980198
0.0,185.0,0.0022226144242424237,0.0020682191010101014,0.0011217058282828281
0.0,195.0,0.00216610983,0.0021235501099999997,0.0004800172799999999
0.0,205.0,0.002127580131313131,0.0018897974343434342,-0.0004181233333333333
0.0,215.0,0.002046960980392157,0.0017692558333333335,-0.001310397019607843
0.0,225.0,0.00194533898989899,0.0014314653131313135,-0.0021094586363636365
0.0,235.0,0.001818802801980198,0.0010598457326732673,-0.002553115207920792
0.0,245.0,0.00165797475,0.0004924397100000001,-0.00268257693
0.0,255.0,0.0015026636767676764,-0.0003993787474747474,-0.002586123919191919
0.0,265.0,0.0013670229399999996,-0.0012610185599999997,-0.00243077201
0.0,275.0,0.0011801512599999998,-0.0018484936699999998,-0.00226523091
0.0,285.0,0.0009941110396039603,-0.0021205569702970294,-0.001853767277227723
