,CHI,OMEGA,OMEGA_Cont,X_LUT,Y_LUT,Z_LUT
0,0.0,2.5,2.5,0.00017400543103460655,-0.001222049568965512,-0.0008013674310344219
1,0.0,7.5,7.5,0.00014724397560982884,-0.001306651365853657,-0.0012166469999999284
2,0.0,12.5,12.5,0.0001481945476191732,-0.0012563426666666638,-0.0014140823333332621
3,0.0,17.5,17.5,0.0001859812682927935,-0.0012856278536585333,-0.0015813561463413942
4,0.0,22.5,22.5,0.00020353219047638169,-0.0013423025714285688,-0.0017143370952380315
5,0.0,27.5,27.5,0.00024834502439037397,-0.0015462237804878022,-0.001881876975609687
6,0.0,32.5,32.5,0.0003145520000001107,-0.0016714792857142825,-0.0021442405476189775
7,0.0,37.5,37.5,0.00037970835714295516,-0.001840753642857141,-0.002255173976190408
8,0.0,42.5,42.5,0.00040954321951229994,-0.002078297560975606,-0.0023289765121950563
9,0.0,47.5,47.5,0.00045365245238103755,-0.0022506236904761873,-0.002387440999999932
10,0.0,52.5,52.5,0.00052643180952391,-0.0025186257142857105,-0.002335892499999934
11,0.0,57.5,57.5,0.0005953409756099516,-0.002759596926829265,-0.002266600999999936
12,0.0,62.5,62.5,0.0006931439523810542,-0.003057295261904758,-0.0021350114285713625
13,0.0,67.5,67.5,0.0007994134523810772,-0.003349776047619045,-0.00195055638095232
14,0.0,72.5,72.5,0.0008860833170733563,-0.0035967652682926806,-0.0017526313658535958
15,0.0,77.5,77.5,0.0009895527857144426,-0.003870916976190473,-0.001622625476190409
16,0.0,82.5,82.5,0.0010843577380954116,-0.004051268809523805,-0.0014112350952380265
17,0.0,87.5,87.5,0.0011886793170733027,-0.0042542786829268256,-0.0011243219999999324
18,0.0,92.5,92.5,0.001283963853658685,-0.004252955634146337,-0.0007924758048779812
19,0.0,97.5,97.5,0.0013988287619049018,-0.0041647403809523765,-0.0004475754047618315
20,0.0,102.5,102.5,0.0014874180000001634,-0.003996200547619043,-8.453880952373813e-05
21,0.0,107.5,107.5,0.0015943159024391592,-0.0038243415365853623,0.0003671458536585987
22,0.0,112.5,112.5,0.0016533148333334562,-0.00360029202380952,0.0007440441666667405
23,0.0,117.5,117.5,0.0017337499285715438,-0.0034416466428571404,0.001103173642857209
24,0.0,122.5,122.5,0.001861034414634263,-0.0033769880731707286,0.0016247498780488584
25,0.0,127.5,127.5,0.001938908666666805,-0.0029762338809523788,0.0019775944047619653
26,0.0,132.5,132.5,0.0020151239500001417,-0.0025923041749999986,0.002250697925000067
27,0.0,137.5,137.5,0.0020799936279070736,-0.0021674661395348774,0.0024696716744186786
28,0.0,142.5,142.5,0.0020965221428572924,-0.001735099880952377,0.00260112114285721
29,0.0,147.5,147.5,0.0021373086829269117,-0.0012248291951219468,0.0026998546341464075
30,0.0,152.5,152.5,0.0022109225000001274,-0.0008603141666666615,0.0027174352380952985
31,0.0,157.5,157.5,0.0022734843658537528,-0.0003085652682926785,0.002772467365853733
32,0.0,162.5,162.5,0.0022775692142857906,0.00033007297619047903,0.0027125802857143637
33,0.0,167.5,167.5,0.002269684463414749,0.000943945365853662,0.0024944039268293356
34,0.0,172.5,172.5,0.0022926558571429575,0.0014066715714285733,0.0022940766666667343
35,0.0,177.5,177.5,0.0022994148333334284,0.001784146500000004,0.002095541452381016
36,0.0,182.5,182.5,0.002284091825000123,0.002214592125000006,0.0017933056250000663
37,0.0,187.5,187.5,0.002298852441860623,0.0025573568372093043,0.0014833456976744831
38,0.0,192.5,192.5,0.0023064646904763244,0.002740366809523812,0.001132177833333401
39,0.0,197.5,197.5,0.0022860345609757014,0.0027937613170731738,0.000738687390243972
40,0.0,202.5,202.5,0.0022925745238096514,0.0028018033809523854,0.0003611368333334049
41,0.0,207.5,207.5,0.0022709446341464276,0.002785580317073176,-0.0001363894878048165
42,0.0,212.5,212.5,0.0022285650238096154,0.002740258619047624,-0.0006526310714285047
43,0.0,217.5,217.5,0.0021723122439025527,0.0026232034390243977,-0.001215865195121881
44,0.0,222.5,222.5,0.002114683558139679,0.002460888162790701,-0.0017079535116278394
45,0.0,227.5,227.5,0.002086440487804957,0.0022264139268292735,-0.002090783292682863
46,0.0,232.5,232.5,0.001977875975609933,0.002003931878048782,-0.0023727635853657883
47,0.0,237.5,237.5,0.00192441590697689,0.0016020523488372155,-0.0025699718372092337
48,0.0,242.5,242.5,0.0018700493658537576,0.001147779487804881,-0.002725670780487734
49,0.0,247.5,247.5,0.0017740551428573124,0.0007433955476190532,-0.002900708238095179
50,0.0,252.5,252.5,0.0016698593658537862,0.00023728585365853853,-0.0029953741463413963
51,0.0,257.5,257.5,0.0015872685714287524,-0.0002269198571428521,-0.003060057904761842
52,0.0,262.5,262.5,0.0014948658292684314,-0.0006490978292682891,-0.0030117994878048095
53,0.0,267.5,267.5,0.0013824800714287314,-0.0009582874761904727,-0.003061423547618987
