,CHI,OMEGA,OMEGA_Cont,X_LUT,Y_LUT,Z_LUT
0,0.0,2.5,2.5,-1.7775772020576955e-05,-0.0016070264870466286,-0.0008222544766838684
1,0.0,7.5,7.5,5.793586585377839e-05,-0.001886324615853655,-0.0011689333719511427
2,0.0,12.5,12.5,0.00012404897023822405,-0.002079120505952378,-0.001291458303571363
3,0.0,17.5,17.5,0.00016976747878798818,-0.0023169569818181778,-0.001506357642424172
4,0.0,22.5,22.5,0.00013104496428584773,-0.0023527782857142828,-0.0016973828392856456
5,0.0,27.5,27.5,7.767761212136024e-05,-0.002407030418181814,-0.0019277372484847836
6,0.0,32.5,32.5,4.546309638570792e-05,-0.0025004475542168645,-0.0020862308192770365
7,0.0,37.5,37.5,5.85693454546826e-05,-0.0024314138787878753,-0.002186973266666597
8,0.0,42.5,42.5,9.705061309539256e-05,-0.0025570025059523764,-0.0022937305416665978
9,0.0,47.5,47.5,0.00013272322891581259,-0.002806716602409635,-0.00236222310843367
10,0.0,52.5,52.5,0.00014617962650615481,-0.003213550807228911,-0.002318878746987888
11,0.0,57.5,57.5,0.00017836054166681898,-0.0033827292321428537,-0.0021760704999999316
12,0.0,62.5,62.5,0.0002621644277109869,-0.0037375577228915624,-0.002080199319277043
13,0.0,67.5,67.5,0.0003550735481929237,-0.004015045096385538,-0.001891574072289094
14,0.0,72.5,72.5,0.00041309765662663476,-0.004311957596385539,-0.0017134817831324645
15,0.0,77.5,77.5,0.0004819762035929347,-0.004434037161676644,-0.001491005353293347
16,0.0,82.5,82.5,0.0005535388083833703,-0.004590580616766463,-0.0012950688802394552
17,0.0,87.5,87.5,0.0006410923832336811,-0.004673388982035926,-0.001048320718562805
18,0.0,92.5,92.5,0.0007702252380953424,-0.004626884077380948,-0.0007812375297618363
19,0.0,97.5,97.5,0.0009383354909092492,-0.004593248084848481,-0.0003906663575756833
20,0.0,102.5,102.5,0.0009952947857144099,-0.00438953064285714,-4.666237499993411e-05
21,0.0,107.5,107.5,0.0010318357289157783,-0.0041140587951807184,0.00040878171686753716
22,0.0,112.5,112.5,0.0011306129047620474,-0.0038245769404761866,0.000906853107142924
23,0.0,117.5,117.5,0.0011919838060607342,-0.0035562043696969656,0.0012394744424243094
24,0.0,122.5,122.5,0.0012961678143714327,-0.0034346979580838297,0.0015716789760479724
25,0.0,127.5,127.5,0.0014262184969698261,-0.003178119109090907,0.0019469664121212816
26,0.0,132.5,132.5,0.0014813317090910376,-0.0027533958606060565,0.002164752357575825
27,0.0,137.5,137.5,0.0015142001317366527,-0.002134197275449097,0.0023963113592815046
28,0.0,142.5,142.5,0.0015871520059173086,-0.0018303673136094642,0.0024710911420119
29,0.0,147.5,147.5,0.0016262626227546207,-0.0014250444491017936,0.002503248508982107
30,0.0,152.5,152.5,0.0016755921017965296,-0.000972957041916164,0.0025389544131737174
31,0.0,157.5,157.5,0.0017148358109757675,-0.0005985942439024356,0.0024445545060976276
32,0.0,162.5,162.5,0.0016390214670660057,0.0001358373053892243,0.0025038694850300094
33,0.0,167.5,167.5,0.0016419845240965352,0.0009896851084337378,0.0025160827469880203
34,0.0,172.5,172.5,0.0016265247305390369,0.001535860263473058,0.002365755371257549
35,0.0,177.5,177.5,0.0015962576506025402,0.0020910916626506043,0.0021563180301205497
36,0.0,182.5,182.5,0.001590304642857286,0.002551316000000003,0.0018350997976191163
37,0.0,187.5,187.5,0.0016215816867471535,0.0028367129096385584,0.001483997879518141
38,0.0,192.5,192.5,0.0016264929880240864,0.0030695993712574884,0.001175320874251567
39,0.0,197.5,197.5,0.0016448095449102971,0.003167783437125753,0.0006664896766467768
40,0.0,202.5,202.5,0.0016152375508983379,0.003191080299401201,0.00013945992215576072
41,0.0,207.5,207.5,0.0015806989520959335,0.0031129296586826383,-0.0002460658263472404
42,0.0,212.5,212.5,0.001561915029762014,0.0030365045238095263,-0.0005719437321427921
43,0.0,217.5,217.5,0.0014940839161677896,0.002985085916167668,-0.000996625826347236
44,0.0,222.5,222.5,0.0014557257289157712,0.0027154857951807256,-0.0015053481686746332
45,0.0,227.5,227.5,0.0013323810542169954,0.002511836596385545,-0.0020170153674698072
46,0.0,232.5,232.5,0.0012665525868264856,0.0022683186526946146,-0.002309798574850229
47,0.0,237.5,237.5,0.0012001044311378433,0.0018585459341317395,-0.002521111568862209
48,0.0,242.5,242.5,0.0011457903878789159,0.0014517038424242453,-0.002669589254545387
49,0.0,247.5,247.5,0.0010439927964073165,0.000991903934131741,-0.0028966682035927497
50,0.0,252.5,252.5,0.0009978202335330462,0.00044136605389221795,-0.0030871549161675953
51,0.0,257.5,257.5,0.0008672389696970888,-7.519569696965131e-06,-0.003257307151515084
52,0.0,262.5,262.5,0.0007723147530121789,-0.0003764064999999969,-0.0033299341385541483
53,0.0,267.5,267.5,0.000643659573964624,-0.0007324033076923049,-0.003398092887573894
54,0.0,272.5,272.5,0.000560633511904895,-0.0010223772678571398,-0.0033800661726189783
55,0.0,277.5,277.5,0.0005127091636364748,-0.0013268228666666636,-0.0030626812787878095
56,0.0,282.5,282.5,0.0004715410238096777,-0.0016061903988095205,-0.002795147488095166
57,0.0,287.5,287.5,0.0003431068433736701,-0.0018506884518072252,-0.002721042198795113
58,0.0,292.5,292.5,0.00022967293975916143,-0.0021205480361445746,-0.002631439873493905
59,0.0,297.5,297.5,0.00015199565662665714,-0.0023460404216867434,-0.0023439702409637836
60,0.0,302.5,302.5,0.00011168583832348391,-0.0024466904670658648,-0.0020929721916166976
61,0.0,307.5,307.5,5.7519700598928395e-05,-0.002527079676646703,-0.0017901358383232845
62,0.0,312.5,312.5,-7.949349397433743e-06,-0.0025467221987951773,-0.0015066551325300511
63,0.0,317.5,317.5,-9.817392771070337e-05,-0.0025769938012048157,-0.0012981052168674035
64,0.0,322.5,322.5,-0.00019255590963840463,-0.0025849293313252968,-0.0011259549397589714
65,0.0,327.5,327.5,-0.00026519003012037825,-0.0024344904397590335,-0.0007983434759035441
66,0.0,332.5,332.5,-0.0002782016242423058,-0.0022012651757575717,-0.0006880830727272014
67,0.0,337.5,337.5,-0.00035894502352927597,-0.0018269895352941146,-0.000657852447058756
68,0.0,342.5,342.5,-0.00036854993333321965,-0.0015744971151515122,-0.00048324612121205163
69,0.0,347.5,347.5,-0.0003993516686389379,-0.0014235179526627183,-0.0005196869171596951
70,0.0,352.5,352.5,-0.00040700392168663345,-0.0014710742590361414,-0.0006008231385541494
71,0.0,357.5,357.5,-0.0003773911162789397,-0.001181462195521099,-0.0005281600232557461
72,10.0,2.5,362.5,-0.010482562719211684,0.04264669527586207,-0.021113953507389094
73,10.0,7.5,367.5,-0.010472230521211979,0.040655315781818184,-0.025333194024242355
74,10.0,12.5,372.5,-0.010464084730538772,0.03851555644910179,-0.029034663299401128
75,10.0,17.5,377.5,-0.010456238331325191,0.03603528798192771,-0.032450697150602344
76,10.0,22.5,382.5,-0.010404782981818043,0.03298371614545455,-0.03569021629696963
77,10.0,27.5,387.5,-0.010405346593939286,0.029644056757575754,-0.03867487168484842
78,10.0,32.5,392.5,-0.010379329904191496,0.02652882071257486,-0.04167303584431132
79,10.0,37.5,397.5,-0.010235780903614324,0.022675844771084343,-0.04424733530722885
80,10.0,42.5,402.5,-0.010169882242603406,0.018572647165680474,-0.04630495286390525
81,10.0,47.5,407.5,-0.010154135201219385,0.014501567591463418,-0.04791184885365848
82,10.0,52.5,412.5,-0.01011206196407172,0.010308348502994016,-0.049031485275449045
83,10.0,57.5,417.5,-0.010048098030120361,0.006145979518072293,-0.049882484867469816
84,10.0,62.5,422.5,-0.009993908351190345,0.001616592988095242,-0.050301290226190405
85,10.0,67.5,427.5,-0.00986054654819262,-0.0030483101084337323,-0.050455308536144515
86,10.0,72.5,432.5,-0.009751101716867345,-0.007950834174698792,-0.05024143253614451
87,10.0,77.5,437.5,-0.009638289904191487,-0.012758944502994007,-0.049714712119760425
88,10.0,82.5,442.5,-0.009526239939758924,-0.017115362451807226,-0.04848265340963849
89,10.0,87.5,447.5,-0.00946555857988153,-0.021256052680473366,-0.04691013261538454
90,10.0,92.5,452.5,-0.009302927597633017,-0.02521161370414201,-0.04505137213609461
91,10.0,97.5,457.5,-0.009267947859755961,-0.02910089088414634,-0.04293059839024383
92,10.0,102.5,462.5,-0.00921632241317354,-0.03272994039520958,-0.04038972035928138
93,10.0,107.5,467.5,-0.009108001542168523,-0.03613929876506024,-0.03740391525903607
94,10.0,112.5,472.5,-0.009014203845237928,-0.03905249667261904,-0.03404800417261898
95,10.0,117.5,477.5,-0.008970418260605932,-0.04159044861818181,-0.030560412436363572
96,10.0,122.5,482.5,-0.008840299999999872,-0.04362477976785714,-0.026781922059523747
97,10.0,127.5,487.5,-0.008766202795180603,-0.04536890537349397,-0.022853184939758967
98,10.0,132.5,492.5,-0.00875856287272715,-0.047151298187878776,-0.018711856587878724
99,10.0,137.5,497.5,-0.00870478964457821,-0.048341273144578305,-0.014623678722891498
100,10.0,142.5,502.5,-0.00856661391071415,-0.04922723296428571,-0.01048514363095231
101,10.0,147.5,507.5,-0.00850115749101784,-0.049547147185628734,-0.006091846532934064
102,10.0,152.5,512.5,-0.00843131503012038,-0.049885923277108425,-0.0019344847048192097
103,10.0,157.5,517.5,-0.008327000993975778,-0.049535647042168666,0.0024170702831325993
104,10.0,162.5,522.5,-0.00830002751785702,-0.048880001273809516,0.007050622071428637
105,10.0,167.5,527.5,-0.008329391469879403,-0.0475992936626506,0.011184455373494042
106,10.0,172.5,532.5,-0.008338711248484737,-0.04590759301212121,0.015108791339394006
107,10.0,177.5,537.5,-0.00836356689820346,-0.04422058009580838,0.018790305940119826
108,10.0,182.5,542.5,-0.008353448319276993,-0.042171039415662644,0.022571116710843442
109,10.0,187.5,547.5,-0.0083264881497005,-0.04005194959880239,0.02610799285029947
110,10.0,192.5,552.5,-0.008338882323353166,-0.03742195870059879,0.02951110655089827
111,10.0,197.5,557.5,-0.008357754407185499,-0.03465523168862276,0.032748785550898274
112,10.0,202.5,562.5,-0.008384912445783016,-0.031552704295180714,0.0354630114457832
113,10.0,207.5,567.5,-0.008456183502958433,-0.028426589994082836,0.037731503177514863
114,10.0,212.5,572.5,-0.008535128634730415,-0.02490967484431137,0.03973293297604797
115,10.0,217.5,577.5,-0.008633817421686618,-0.02135111848192771,0.0415825346084338
116,10.0,222.5,582.5,-0.008714402559523694,-0.01746662039285714,0.04344332522619055
117,10.0,227.5,587.5,-0.00872462476506012,-0.01368924931325301,0.04482031054819284
118,10.0,232.5,592.5,-0.008866878599999864,-0.009870023618181813,0.04555009864242431
119,10.0,237.5,597.5,-0.008971231626505888,-0.0060644341746987915,0.04621458600602417
120,10.0,242.5,602.5,-0.009008617775147802,-0.002481742834319523,0.04647981615384622
121,10.0,247.5,607.5,-0.009089628854545312,0.0012668791939393987,0.04631422733939401
122,10.0,252.5,612.5,-0.009219208257484858,0.005171973107784435,0.04612780138922162
123,10.0,257.5,617.5,-0.009337788018072151,0.009007770560240968,0.0455809994518073
124,10.0,262.5,622.5,-0.009453273427710723,0.01285925386746988,0.04443161984939766
125,10.0,267.5,627.5,-0.00961000496428556,0.016842339815476195,0.043080188732142935
126,10.0,272.5,632.5,-0.009698259732142757,0.020497420339285716,0.04168361779166674
127,10.0,277.5,637.5,-0.00977866221556869,0.02395451576047904,0.03971880125149708
128,10.0,282.5,642.5,-0.009875709157575623,0.027333683515151516,0.037423276830303095
129,10.0,287.5,647.5,-0.009974153664670525,0.030416645449101803,0.034910361778443186
130,10.0,292.5,652.5,-0.010029924608433601,0.03337379425301205,0.03197841683132537
131,10.0,297.5,657.5,-0.010136010162650477,0.035948508162650605,0.029221401240963923
132,10.0,302.5,662.5,-0.010213027604790295,0.038277608425149705,0.026074484694610843
133,10.0,307.5,667.5,-0.01029805281325289,0.04031409645180724,0.02272978295180729
134,10.0,312.5,672.5,-0.010429291976047764,0.04231935043712575,0.018992430832335396
