OMEGA,Radius,AI0,AI1,Sequenz1,Sequenz2,Sekunden1,Sekunden1,NaoSek1,NanoSek2,DMS1,DMS2,DMS3,CHI,PHI
359.8455810546875,4.991481781005859,4.881651401519775,0.040550049394369125,13588877,11299454,1626251006,1626251006,929377610,951133778,100362136.0,-60964377.0,92626012.0,-2.8076928075561774e-07,-5.12e-07
359.7882385253906,4.990694046020508,4.880865573883057,0.03567751124501228,13588878,11299455,1626251006,1626251006,934090543,958223768,100337415.0,-60963264.0,92631811.0,3.434707889232156e-07,4.13e-07
359.7735900878906,4.993913173675537,4.884008884429932,0.034420084208250046,13588879,11299455,1626251006,1626251006,939051738,958223768,100337415.0,-60963264.0,92631811.0,3.434707889232156e-07,4.13e-07
359.77349853515625,4.99150276184082,4.881651401519775,0.034420084208250046,13588880,11299456,1626251006,1626251006,944062012,965215409,100331415.0,-60963940.0,92645426.0,3.434707889232156e-07,4.13e-07
359.8492126464844,4.989391803741455,4.879608154296875,0.040864404290914536,13588881,11299456,1626251006,1626251006,949084709,965215409,100331415.0,-60963940.0,92645426.0,3.3459771160275085e-06,-2.909e-06
359.840087890625,4.99357271194458,4.883694648742676,0.04007851332426071,13588882,11299458,1626251006,1626251006,954057283,978644312,100325590.0,-60975036.0,92650442.0,3.3459771160275085e-06,-2.909e-06
359.8290100097656,4.993575572967529,4.883694648742676,0.039135441184043884,13588883,11299459,1626251006,1626251006,959084642,983181600,100317505.0,-60969265.0,92663329.0,-5.0988474609885315e-06,1.9830000000000003e-06
359.7734680175781,4.991181373596191,4.8813371658325195,0.034420084208250046,13588884,11299459,1626251006,1626251006,964073252,983181600,100317505.0,-60969265.0,92663329.0,-5.0988474609885315e-06,1.9830000000000003e-06
359.7901916503906,4.993265151977539,4.88338041305542,0.03583468869328499,13588885,11299460,1626251006,1626251006,969087561,996227097,100322976.0,-60955351.0,92648736.0,-5.0988474609885315e-06,1.9830000000000003e-06
359.76983642578125,4.992307662963867,4.882437229156494,0.03410572558641434,13588886,11299461,1626251006,1626251007,974496556,1263120,100313261.0,-60925553.0,92663151.0,-5.0988474609885315e-06,1.9830000000000003e-06
359.7994079589844,4.992619037628174,4.88275146484375,0.03662058338522911,13588887,11299462,1626251006,1626251007,981665213,7156690,100321057.0,-60945026.0,92677689.0,1.4776532149967396e-06,6.108000000000001e-06
359.8547668457031,4.989712238311768,4.879922389984131,0.04133594036102295,13588888,11299463,1626251006,1626251007,984058496,13167907,100336325.0,-60927881.0,92701315.0,1.4776532149967396e-06,6.108000000000001e-06
359.7882995605469,4.991818904876709,4.881965637207031,0.03567751124501228,13588889,11299464,1626251006,1626251007,991895194,19289740,100381712.0,-60881522.0,92682799.0,1.4776532149967396e-06,6.108000000000001e-06
359.8216247558594,4.993898391723633,4.884008884429932,0.038506727665662766,13588890,11299464,1626251006,1626251007,994220181,19289740,100381712.0,-60881522.0,92682799.0,1.4776532149967396e-06,6.108000000000001e-06
359.7844543457031,4.988766670227051,4.878979206085205,0.035363152623176575,13588891,11299465,1626251007,1626251007,996214,25133531,100746182.0,-60764579.0,92702891.0,-5.89453375660282e-06,-1.4382e-05
359.8251647949219,4.989236831665039,4.879450798034668,0.038821082562208176,13588892,11299465,1626251007,1626251007,5552179,25133531,100746182.0,-60764579.0,92702891.0,-5.89453375660282e-06,-1.4382e-05
359.7957458496094,4.993263244628906,4.88338041305542,0.0363062247633934,13588893,11299466,1626251007,1626251007,9120111,31117833,101449100.0,-60777156.0,93038046.0,-5.89453375660282e-06,-1.4382e-05
359.7679748535156,4.992147445678711,4.882279872894287,0.03394854813814163,13588894,11299466,1626251007,1626251007,14116917,31117833,101449100.0,-60777156.0,93038046.0,-5.89453375660282e-06,-1.4382e-05
359.8104248046875,4.991008758544922,4.8811798095703125,0.03756365552544594,13588895,11299467,1626251007,1626251007,19053390,37151804,102107435.0,-60700974.0,92767018.0,-5.89453375660282e-06,-1.4382e-05
359.79559326171875,4.989888668060303,4.880079746246338,0.0363062247633934,13588896,11299468,1626251007,1626251007,24085070,43167332,103043914.0,-61052203.0,92734746.0,-5.89453375660282e-06,-1.4382e-05
359.8030700683594,4.9919753074646,4.882122993469238,0.03693494200706482,13588897,11299468,1626251007,1626251007,29053119,43167332,103043914.0,-61052203.0,92734746.0,6.282542256283103e-06,1.3838e-05
359.8269958496094,4.988914966583252,4.879136562347412,0.03897826373577118,13588898,11299469,1626251007,1626251007,34049841,51142272,103245005.0,-61214858.0,92797371.0,6.282542256283103e-06,1.3838e-05
359.7604064941406,4.988614559173584,4.878822326660156,0.033319830894470215,13588899,11299470,1626251007,1626251007,39061392,57624988,102990046.0,-61229337.0,92885133.0,6.282542256283103e-06,1.3838e-05
359.8363952636719,4.9935736656188965,4.883694648742676,0.039764154702425,13588900,11299471,1626251007,1626251007,44071247,65186654,102720742.0,-61216752.0,92951987.0,-1.1517091132795886e-05,-9.128000000000001e-06
359.8216247558594,4.993256092071533,4.88338041305542,0.038506727665662766,13588901,11299472,1626251007,1626251007,51214814,71122925,102762157.0,-61316661.0,93022670.0,-1.1517091132795886e-05,-9.128000000000001e-06
359.7864990234375,4.993587970733643,4.883694648742676,0.03552033379673958,13588902,11299472,1626251007,1626251007,54832146,71122925,102762157.0,-61316661.0,93022670.0,-1.1517091132795886e-05,-9.128000000000001e-06
