OMEGA,Radius,AI0,AI1,Counter,Sequenz1,Sequenz2,Sekunden1,Sekunden1,NaoSek1,NanoSek2,DMS1,DMS2,DMS3,CHI,PHI
359.79010009765625,4.991175651550293,4.8813371658325195,0.03583468869328499,0,33436285,27483481,1626350269,1626350269,425031994,424654409,6004143011.0,-40003617.0,-169206644.0,4.110890870231312e-06,5.211000000000001e-06
359.78271484375,4.991178035736084,4.8813371658325195,0.03520597517490387,0,33436286,27483482,1626350269,1626350269,429963989,430591278,6004142528.0,-40003532.0,-169196017.0,2.642608044120924e-06,2.1680000000000002e-06
359.7717590332031,4.994235038757324,4.8843231201171875,0.03426290303468704,0,33436287,27483483,1626350269,1626350269,435020764,436640997,6004141356.0,-39995127.0,-169179175.0,2.642608044120924e-06,2.1680000000000002e-06
359.840087890625,4.993411540985107,4.883537292480469,0.04007851332426071,0,33436288,27483484,1626350269,1626350269,440012615,442641849,6004134422.0,-39986644.0,-169178469.0,2.642608044120924e-06,2.1680000000000002e-06
359.8345031738281,4.991966724395752,4.882122993469238,0.0396069772541523,0,33436289,27483485,1626350269,1626350269,445046507,448598412,6004125933.0,-39994715.0,-169175986.0,1.4380887125271018e-06,4.3700000000000005e-06
359.8473205566406,4.9881062507629395,4.878350734710693,0.04070722684264183,0,33436290,27483486,1626350269,1626350269,450006382,454689263,6004123494.0,-39997897.0,-169166590.0,1.4380887125271018e-06,4.3700000000000005e-06
359.8306884765625,4.988431930541992,4.878664970397949,0.03929261863231659,0,33436291,27483487,1626350269,1626350269,455012258,460705324,6004110006.0,-39992207.0,-169165610.0,1.4380887125271018e-06,4.3700000000000005e-06
359.8233642578125,4.990844249725342,4.8810224533081055,0.03866390511393547,0,33436292,27483488,1626350269,1626350269,460068962,466633414,6004104234.0,-39962738.0,-169175505.0,1.4380887125271018e-06,4.3700000000000005e-06
359.7901306152344,4.991818428039551,4.881965637207031,0.03583468869328499,0,33436293,27483489,1626350269,1626350269,465096739,472688272,6004101073.0,-39958952.0,-169185430.0,-2.127113010268508e-06,-6.1e-08
359.8103332519531,4.988276481628418,4.878507614135742,0.03756365552544594,0,33436294,27483489,1626350269,1626350269,470068632,472688272,6004101073.0,-39958952.0,-169185430.0,-2.127113010268508e-06,-6.1e-08
